time,temperature,humidity,pressure,di
2019/03/20 00:00:41,21.12,47.4,1013.69,66.54
2019/03/20 00:01:39,21.08,46.77,1013.73,66.44
2019/03/20 00:02:39,21.07,47.01,1013.78,66.45
2019/03/20 00:03:39,21.04,46.8,1013.74,66.39
2019/03/20 00:04:39,21.01,47.2,1013.77,66.38
2019/03/20 00:05:41,21.02,46.88,1013.84,66.37
2019/03/20 00:06:39,21.0,46.79,1013.81,66.34
2019/03/20 00:07:39,20.99,46.85,1013.85,66.33
2019/03/20 00:08:39,20.98,46.84,1013.83,66.32
2019/03/20 00:09:39,20.96,46.88,1013.79,66.3
2019/03/20 00:10:41,20.96,46.92,1013.77,66.3
2019/03/20 00:11:39,20.96,46.64,1013.75,66.29
2019/03/20 00:12:38,20.95,46.7,1013.8,66.27
2019/03/20 00:13:40,20.95,46.6,1013.78,66.27
2019/03/20 00:14:39,20.93,46.55,1013.81,66.24
2019/03/20 00:15:41,20.92,46.76,1013.81,66.24
2019/03/20 00:16:39,20.91,46.46,1013.88,66.21
2019/03/20 00:17:40,20.93,46.15,1013.82,66.21
2019/03/20 00:18:39,20.93,46.56,1013.9,66.24
2019/03/20 00:19:39,20.91,46.71,1013.87,66.22
2019/03/20 00:20:41,20.89,46.58,1013.89,66.19
2019/03/20 00:21:38,20.89,46.38,1013.87,66.18
2019/03/20 00:22:40,20.88,46.45,1013.77,66.17
2019/03/20 00:23:40,20.88,46.55,1013.71,66.17
2019/03/20 00:24:39,20.9,46.39,1013.86,66.2
2019/03/20 00:25:40,20.88,46.53,1013.82,66.17
2019/03/20 00:26:39,20.88,46.14,1013.85,66.15
2019/03/20 00:27:40,20.86,46.57,1013.86,66.15
2019/03/20 00:28:39,20.84,46.51,1013.8,66.12
2019/03/20 00:29:39,20.84,46.33,1013.8,66.11
2019/03/20 00:30:41,20.8,46.47,1013.9,66.07
2019/03/20 00:31:39,20.81,46.57,1013.86,66.09
2019/03/20 00:32:39,20.8,46.28,1013.92,66.05
2019/03/20 00:33:40,20.82,46.4,1013.98,66.09
2019/03/20 00:34:39,20.78,46.59,1013.98,66.06
2019/03/20 00:35:42,20.81,46.65,1013.92,66.1
2019/03/20 00:36:40,20.85,46.84,1013.98,66.15
2019/03/20 00:37:39,20.82,46.58,1014.05,66.11
2019/03/20 00:38:39,20.82,46.6,1014.09,66.1
2019/03/20 00:39:40,20.8,46.85,1014.16,66.09
2019/03/20 00:40:41,20.77,46.68,1014.11,66.04
2019/03/20 00:41:40,20.77,47.31,1014.12,66.09
2019/03/20 00:42:39,20.81,46.79,1014.11,66.11
2019/03/20 00:43:39,20.83,46.69,1014.14,66.13
2019/03/20 00:44:39,20.82,46.68,1014.09,66.11
2019/03/20 00:45:41,20.81,46.86,1014.1,66.1
2019/03/20 00:46:40,20.78,46.87,1014.08,66.07
2019/03/20 00:47:39,20.78,46.77,1014.13,66.06
2019/03/20 00:48:39,20.78,46.86,1014.13,66.07
2019/03/20 00:49:39,20.79,46.67,1014.15,66.07
2019/03/20 00:50:41,20.76,47.07,1014.07,66.05
2019/03/20 00:51:39,20.77,46.83,1014.07,66.06
2019/03/20 00:52:39,20.79,46.76,1014.04,66.07
2019/03/20 00:53:39,20.78,46.67,1014.11,66.06
2019/03/20 00:54:39,20.77,46.85,1014.01,66.06
2019/03/20 00:55:42,20.77,46.72,1014.11,66.04
2019/03/20 00:56:39,20.76,46.58,1014.18,66.02
2019/03/20 00:57:39,20.74,46.58,1014.12,66.0
2019/03/20 00:58:39,20.72,46.38,1014.12,65.97
2019/03/20 00:59:39,20.71,46.58,1014.14,65.96
2019/03/20 01:00:41,20.7,46.68,1014.26,65.95
2019/03/20 01:01:39,20.7,46.59,1014.21,65.95
2019/03/20 01:02:40,20.69,46.61,1014.2,65.94
2019/03/20 01:03:39,20.68,46.96,1014.15,65.95
2019/03/20 01:04:39,20.7,46.63,1014.21,65.95
2019/03/20 01:05:41,20.66,46.57,1014.23,65.9
2019/03/20 01:06:39,20.67,46.38,1014.24,65.9
2019/03/20 01:07:39,20.69,46.31,1014.22,65.92
2019/03/20 01:08:39,20.68,46.64,1014.25,65.92
2019/03/20 01:09:39,20.66,46.39,1014.2,65.89
2019/03/20 01:10:41,20.64,46.58,1014.29,65.87
2019/03/20 01:11:39,20.64,46.51,1014.27,65.87
2019/03/20 01:12:39,20.67,47.22,1014.21,65.95
2019/03/20 01:13:39,20.69,47.05,1014.3,65.96
2019/03/20 01:14:39,20.67,47.0,1014.32,65.94
2019/03/20 01:15:41,20.64,47.08,1014.33,65.91
